Entry,No.,Direction,Digits,Row,Col,Clue,Crosses (in order),Candidates,Answer,Notes
1-across,1,Across,3,1,1,A square number,1-down 2-down 3-down,,,
4-across,4,Across,3,1,5,A square number,4-down 5-down 6-down,,,
7-across,7,Across,3,1,9,A square number,7-down 8-down 9-down,,,
10-across,10,Across,3,2,1,Smaller than 23-down,1-down 2-down 3-down,,,
11-across,11,Across,3,2,5,A square number,4-down 5-down 6-down,,,
12-across,12,Across,3,2,9,A square number,7-down 8-down 9-down,,,
13-across,13,Across,3,3,1,The smallest number in this grid,1-down 2-down 3-down,,,
14-across,14,Across,7,3,5,Its digits sum to 42,4-down 5-down 6-down 15-down 7-down 8-down 9-down,,,
16-across,16,Across,6,4,3,Divisible by 6,3-down 17-down 4-down 5-down 6-down 15-down,,,
18-across,18,Across,5,5,1,37-across + 6-down,18-down 19-down 3-down 17-down 4-down,,,
20-across,20,Across,5,5,7,"Whether read forwards or backwards, the largest 5-digit number in this grid",6-down 15-down 21-down 22-down 23-down,,,
24-across,24,Across,4,6,1,Has the same digits as 5-down,18-down 19-down 3-down 17-down,,,
25-across,25,Across,4,6,8,42-across + 7-down,15-down 21-down 22-down 23-down,,,
26-across,26,Across,5,7,1,Its digits sum to 26,18-down 19-down 3-down 17-down 27-down,,,
28-across,28,Across,5,7,7,Its digits are ascending,28-down 15-down 21-down 22-down 23-down,,,
29-across,29,Across,6,8,4,4-across times 35-down,17-down 27-down 30-down 28-down 15-down 21-down,,,
31-across,31,Across,7,9,1,Divisible by 3,31-down 32-down 33-down 17-down 27-down 30-down 28-down,,,
34-across,34,Across,3,9,9,Divisible by 3,21-down 35-down 36-down,,,
37-across,37,Across,3,10,1,Its digits are ascending,31-down 32-down 33-down,,,
38-across,38,Across,3,10,5,39-across minus 13-across,27-down 30-down 28-down,,,
39-across,39,Across,3,10,9,Twice a prime number,21-down 35-down 36-down,,,
40-across,40,Across,3,11,1,Greater than 1-across,31-down 32-down 33-down,,,
41-across,41,Across,3,11,5,Divisible by 25,27-down 30-down 28-down,,,
42-across,42,Across,3,11,9,An odd number,21-down 35-down 36-down,,,
1-down,1,Down,3,1,1,A square number,1-across 10-across 13-across,,,
2-down,2,Down,3,1,2,Divisible by 11,1-across 10-across 13-across,,,
3-down,3,Down,7,1,3,The largest number in this grid,1-across 10-across 13-across 16-across 18-across 24-across 26-across,,,
4-down,4,Down,5,1,5,Its digits sum to 16,4-across 11-across 14-across 16-across 18-across,,,
5-down,5,Down,4,1,6,A multiple of 9-down,4-across 11-across 14-across 16-across,,,
6-down,6,Down,5,1,7,Its digits sum to 35,4-across 11-across 14-across 16-across 20-across,,,
7-down,7,Down,3,1,9,A square number,7-across 12-across 14-across,,,
8-down,8,Down,3,1,10,A square number,7-across 12-across 14-across,,,
9-down,9,Down,3,1,11,A prime number,7-across 12-across 14-across,,,
15-down,15,Down,6,3,8,Divisible by 11,14-across 16-across 20-across 25-across 28-across 29-across,,,
17-down,17,Down,6,4,4,Divisible by 9,16-across 18-across 24-across 26-across 29-across 31-across,,,
18-down,18,Down,3,5,1,A square number,18-across 24-across 26-across,,,
19-down,19,Down,3,5,2,A square number,18-across 24-across 26-across,,,
21-down,21,Down,7,5,9,Its digits sum to 41,20-across 25-across 28-across 29-across 34-across 39-across 42-across,,,
22-down,22,Down,3,5,10,A prime number,20-across 25-across 28-across,,,
23-down,23,Down,3,5,11,Larger than 32-down,20-across 25-across 28-across,,,
27-down,27,Down,5,7,5,Half of 6-down,26-across 29-across 31-across 38-across 41-across,,,
28-down,28,Down,5,7,7,Divisible by 125,28-across 29-across 31-across 38-across 41-across,,,
30-down,30,Down,4,8,6,Its digits are descending,29-across 31-across 38-across 41-across,,,
31-down,31,Down,3,9,1,Its digits sum to 6,31-across 37-across 40-across,,,
32-down,32,Down,3,9,2,A multiple of 31-down,31-across 37-across 40-across,,,
33-down,33,Down,3,9,3,A multiple of 31-down,31-across 37-across 40-across,,,
35-down,35,Down,3,9,10,An even number,34-across 39-across 42-across,,,
36-down,36,Down,3,9,11,A square number,34-across 39-across 42-across,,,
